country_iso3,commodity,HS4,export_value_usd,export_quantity_mt,year
ABW,RICE_05,1006,14562.892,21650.476000000002,1995
ABW,GOLD,7108,45.199,0.004,1995
AFG,RICE_05,1006,304.615,1158.187,1995
AFG,COTTON_A_INDX,5201,2460.722,1368.237,1995
AGO,CRUDE_PETRO,2709,3246447.179,24871183.617,1995
AGO,NGAS_EUR,2711,24454.572999999997,123996.215,1995
AGO,COTTON_A_INDX,5201,161.98,107.886,1995
ALB,MAIZE,1005,521.958,3150,1995
ALB,SOYBEANS,1201,47.337,178.742,1995
ALB,COCOA,1801,130.757,100,1995
ALB,TOBAC_US,2401,3940.1349999999998,1605.676,1995
ALB,RUBBER1_MYSG,4001,114.202,70.378,1995
ALB,PLYWOOD,4412,338.837,322.147,1995
ALB,ALUMINUM,7601,2246.768,2066.573,1995
ALB,LEAD,7801,67.731,101.936,1995
ANT,RICE_05,1006,127863.274,183597.623,1995
ANT,NGAS_EUR,2711,14196.754,120128.31300000001,1995
ANT,GOLD,7108,745.8,0.065,1995
ANT,PLATINUM,7110,201.716,0,1995
ARE,CRUDE_PETRO,2709,12343071.873,93486602.138,1995
ARE,NGAS_EUR,2711,1527288.153,8357615.451,1995
ARE,UREA_EE_BULK,3102,110258.669,511708.271,1995
ARE,COTTON_A_INDX,5201,3298.138,1730.85,1995
ARE,GOLD,7108,160039.926,80.18,1995
ARE,NICKEL,7502,685.714,90.698,1995
ARE,ALUMINUM,7601,429672.493,200219.51499999998,1995
ARE,TIN,8001,6192.99,1869.016,1995
ARG,WHEAT_US_HRW,1001,1158007.021,6726922.165,1995
ARG,BARLEY,1003,4206.189,22205.198,1995
ARG,MAIZE,1005,779024.21,6383166.3610000005,1995
ARG,RICE_05,1006,132552.857,399125.143,1995
ARG,SOYBEANS,1201,653358.622,2659347.613,1995
ARG,PALM_OIL,1511,198.96,284.8,1995
ARG,SUGAR_WLD,1701,64613.083999999995,163686.206,1995
ARG,TOBAC_US,2401,108134.404,43705.632,1995
ARG,CRUDE_PETRO,2709,1544302.467,14078195.848,1995
ARG,NGAS_EUR,2711,92071.949,499459.524,1995
ARG,COTTON_A_INDX,5201,442518.653,242300.945,1995
ARG,GOLD,7108,29965.599000000002,2.367,1995
ARG,ALUMINUM,7601,188335.973,101403.55,1995
ARG,ZINC,7901,12227.468,11693.395,1995
ATG,RICE_05,1006,2969.709,4214.847,1995
ATG,DAP,3105,916.056,3435,1995
AUS,WHEAT_US_HRW,1001,1041255.276,5054129.134,1995
AUS,BARLEY,1003,160366.237,657283.1429999999,1995
AUS,RICE_05,1006,105938.436,187475.41,1995
AUS,SUGAR_WLD,1701,1188690.922,3868672.556,1995
AUS,IRON_ORE,2601,3030522.274,134244010.243,1995
AUS,COAL_AUS,2701,7117324.684,144398999.194,1995
AUS,NGAS_EUR,2711,1436006.7219999998,8241342.292,1995
AUS,COTTON_A_INDX,5201,632102.954,304342.385,1995
AUS,SILVER,7106,50531.869,0,1995
AUS,GOLD,7108,3383416.354,266.683,1995
AUS,COPPER,7403,425735.198,133770.018,1995
AUS,NICKEL,7502,380691.884,46472.669,1995
AUS,ALUMINUM,7601,1826839.015,954987.932,1995
AUS,LEAD,7801,262400.974,348084.963,1995
AUS,ZINC,7901,295933.87,237301.374,1995
AUT,WHEAT_US_HRW,1001,72331.444,348953.142,1995
AUT,BARLEY,1003,29673.361,173527.562,1995
AUT,MAIZE,1005,30201.05,48085.728,1995
AUT,SOYBEANS,1201,9568.592,37809.429,1995
AUT,SUGAR_WLD,1701,21989.999,52428.194,1995
AUT,UREA_EE_BULK,3102,94751.876,501715.117,1995
AUT,PLYWOOD,4412,106703.23,67150.73000000001,1995
AUT,SILVER,7106,12089.014000000001,0,1995
AUT,COPPER,7403,244995.93600000002,58720.108,1995
AZE,UREA_EE_BULK,3102,157.42000000000002,953.304,1995
AZE,NICKEL,7502,186.748,23.765,1995
BDI,PALM_OIL,1511,594.9929999999999,1605.2489999999998,1995
