country_iso3,HS4,trade_value_usd,trade_quantity_mt,year,commodity
ABW,1006,14562.892,21650.476000000002,1995,RICE_05
ABW,4412,3.977,7.5,1995,PLYWOOD
ABW,7108,45.199,0.004,1995,GOLD
AFG,1006,304.615,1158.187,1995,RICE_05
AFG,1701,3027.004,5952.139999999999,1995,SUGAR_WLD
AFG,2401,12.705,5.3740000000000006,1995,TOBAC_US
AFG,4001,28,19.199,1995,RUBBER1_MYSG
AFG,5201,2460.722,1368.237,1995,COTTON_A_INDX
AFG,8001,26.912,4,1995,TIN
AGO,1511,36.764,244.085,1995,PALM_OIL
AGO,2709,3246447.179,24871183.617,1995,CRUDE_PETRO
AGO,2711,24454.572999999997,123996.215,1995,NGAS_EUR
AGO,4412,26.295,88.8,1995,PLYWOOD
AGO,5201,161.98,107.886,1995,COTTON_A_INDX
AGO,7108,18.263,0,1995,GOLD
ALB,1001,11.458,92.949,1995,WHEAT_US_HRW
ALB,1005,521.958,3150,1995,MAIZE
ALB,1201,47.337,178.742,1995,SOYBEANS
ALB,1801,130.757,100,1995,COCOA
ALB,2401,3940.1349999999998,1605.676,1995,TOBAC_US
ALB,2835,6.804,22.898,1995,TSP
ALB,3102,214.164,8989.535,1995,UREA_EE_BULK
ALB,4001,114.202,70.378,1995,RUBBER1_MYSG
ALB,4412,338.837,322.147,1995,PLYWOOD
ALB,5201,188.839,100.753,1995,COTTON_A_INDX
ALB,7108,2.218,0.007,1995,GOLD
ALB,7403,7698.598,3039.499,1995,COPPER
ALB,7601,2246.768,2066.573,1995,ALUMINUM
ALB,7801,67.731,101.936,1995,LEAD
AND,1701,176.815,290.375,1995,SUGAR_WLD
AND,2401,47.591,51.277,1995,TOBAC_US
AND,4412,0.824,0.449,1995,PLYWOOD
AND,7108,1766.51,0.177,1995,GOLD
ANT,1001,163.687,501.625,1995,WHEAT_US_HRW
ANT,1006,127863.274,183597.623,1995,RICE_05
ANT,1701,116.132,157.121,1995,SUGAR_WLD
ANT,2701,2144.177,22368,1995,COAL_AUS
ANT,2709,64009.599,565361.2559999999,1995,CRUDE_PETRO
ANT,2711,14196.754,120128.31300000001,1995,NGAS_EUR
ANT,2835,31.03,26.25,1995,TSP
