ISO3,country,short_country,status,wesp_region,wesp_subregion,country_code,LDC,LLDC,SIDS
AFG,Afghanistan,Afghanistan,DVG,Asia,South Asia,004,0,0,0
ALB,Albania,Albania,EIT,South-Eastern Europe,NA,008,0,0,0
DZA,Algeria,Algeria,DVG,Africa,North Africa,012,0,0,0
AGO,Angola,Angola,DVG,Africa,Southern Africa,024,0,0,0
ARG,Argentina,Argentina,DVG,Latin America and the Caribbean,South America,032,0,0,0
ARM,Armenia,Armenia,EIT,Commonwealth of Independent States and Georgia,NA,051,0,0,0
AUS,Australia,Australia,DVD,Developed Asia and the Pacific,NA,036,0,0,0
AUT,Austria,Austria,DVD,Europe,European Union,040,0,0,0
AZE,Azerbaijan,Azerbaijan,EIT,Commonwealth of Independent States and Georgia,NA,031,0,0,0
BHS,Bahamas,Bahamas,DVG,Latin America and the Caribbean,Caribbean,044,0,0,0
BHR,Bahrain,Bahrain,DVG,Asia,Western Asia,048,0,0,0
BGD,Bangladesh,Bangladesh,DVG,Asia,South Asia,050,0,0,0
BRB,Barbados,Barbados,DVG,Latin America and the Caribbean,Caribbean,052,0,0,0
BLR,Belarus,Belarus,EIT,Commonwealth of Independent States and Georgia,NA,112,0,0,0
BEL,Belgium,Belgium,DVD,Europe,European Union,056,0,0,0
BLZ,Belize,Belize,DVG,Latin America and the Caribbean,Caribbean,084,0,0,0
BEN,Benin,Benin,DVG,Africa,West Africa,204,1,0,0
BTN,Bhutan,Bhutan,DVG,Asia,South Asia,064,0,0,0
BOL,Bolivia (Plurinational State of),Bolivia,DVG,Latin America and the Caribbean,South America,068,0,0,0
BIH,Bosnia and Herzegovina,Bosnia_Herz,EIT,South-Eastern Europe,NA,070,0,0,0
BWA,Botswana,Botswana,DVG,Africa,Southern Africa,072,0,0,0
BRA,Brazil,Brazil,DVG,Latin America and the Caribbean,South America,076,0,0,0
BRN,Brunei Darussalam,Brunei,DVG,Asia,East Asia,096,0,0,0
BGR,Bulgaria,Bulgaria,DVD,Europe,European Union,100,0,0,0
BFA,Burkina Faso,Burkina_Faso,DVG,Africa,West Africa,854,1,1,0
BDI,Burundi,Burundi,DVG,Africa,East Africa,108,1,1,0
CPV,Cabo Verde,Cabo_Verde,DVG,Africa,West Africa,132,0,0,1
KHM,Cambodia,Cambodia,DVG,Asia,East Asia,116,1,0,0
CMR,Cameroon,Cameroon,DVG,Africa,Central Africa,120,0,0,0
CAN,Canada,Canada,DVD,North America,NA,124,0,0,0
CAF,Central African Republic,Cen_Afr_Rep,DVG,Africa,Central Africa,140,1,1,0
TCD,Chad,Chad,DVG,Africa,Central Africa,148,1,1,0
CHL,Chile,Chile,DVG,Latin America and the Caribbean,South America,152,0,0,0
CHN,China,China,DVG,Asia,East Asia,156,0,0,0
COL,Colombia,Colombia,DVG,Latin America and the Caribbean,South America,170,0,0,0
COM,Comoros,Comoros,DVG,Africa,East Africa,174,1,0,1
COG,Congo,Congo,DVG,Africa,Central Africa,178,0,0,0
CRI,Costa Rica,Costa_Rica,DVG,Latin America and the Caribbean,Mexico and Central America,188,0,0,0
CIV,Côte d’Ivoire,Cote_DIvoire,DVG,Africa,West Africa,384,0,0,0
HRV,Croatia,Croatia,DVD,Europe,European Union,191,0,0,0
CUB,Cuba,Cuba,DVG,Latin America and the Caribbean,Mexico and Central America,192,0,0,1
CYP,Cyprus,Cyprus,DVD,Europe,European Union,196,0,0,0
CZE,Czechia,Czech_Rep,DVD,Europe,European Union,203,0,0,0
PRK,Democratic People's Republic of Korea,DPRK,DVG,Asia,East Asia,408,0,0,0
COD,Democratic Republic of the Congo,DR_Congo,DVG,Africa,East Africa,180,1,0,0
DNK,Denmark,Denmark,DVD,Europe,European Union,208,0,0,0
DJI,Djibouti,Djibouti,DVG,Africa,East Africa,262,1,0,0
DOM,Dominican Republic,Dominican_Rep,DVG,Latin America and the Caribbean,Mexico and Central America,214,0,0,1
ECU,Ecuador,Ecuador,DVG,Latin America and the Caribbean,South America,218,0,0,0
EGY,Egypt,Egypt,DVG,Africa,North Africa,818,0,0,0
SLV,El Salvador,El_Salvador,DVG,Latin America and the Caribbean,Mexico and Central America,222,0,0,0
GNQ,Equatorial Guinea,Eq_Guinea,DVG,Africa,Central Africa,226,0,0,0
ERI,Eritrea,Eritrea,DVG,Africa,East Africa,232,1,0,0
EST,Estonia,Estonia,DVD,Europe,European Union,233,0,0,0
