ISO3,year,output_gap_pct
AUS,1990,0.255
AUS,1991,-2.55
AUS,1992,-2.565
AUS,1993,-1.627
AUS,1994,-0.238
AUS,1995,-0.502
AUS,1996,-0.408
AUS,1997,0.147
AUS,1998,0.823
AUS,1999,1.249
AUS,2000,0.71
AUS,2001,-0.287
AUS,2002,0.044
AUS,2003,-0.393
AUS,2004,0.176
AUS,2005,0.024
AUS,2006,-0.382
AUS,2007,0.521
AUS,2008,0.338
AUS,2009,-0.504
AUS,2010,-0.754
AUS,2011,-0.807
AUS,2012,-0.081
AUS,2013,-0.439
AUS,2014,-0.497
AUS,2015,-0.609
AUS,2016,-0.317
AUS,2017,-0.227
AUS,2018,0.289
AUS,2019,-0.019
AUS,2020,-3.015
AUS,2021,-0.282
AUS,2022,1.413
AUS,2023,1.178
AUS,2024,0.127
AUS,2025,-0.149
AUS,2026,-0.093
AUT,1990,1.366
AUT,1991,2.191
AUT,1992,1.553
AUT,1993,-0.56
AUT,1994,-0.778
AUT,1995,-0.724
AUT,1996,-0.669
AUT,1997,-0.334
AUT,1998,0.586
AUT,1999,1.287
AUT,2000,1.699
AUT,2001,0.835
AUT,2002,0.185
AUT,2003,-1.083
AUT,2004,-0.791
AUT,2005,-0.469
AUT,2006,0.823
AUT,2007,2.563
AUT,2008,2.691
AUT,2009,-1.296
AUT,2010,-0.674
AUT,2011,1.089
AUT,2012,0.689
AUT,2013,-0.341
AUT,2014,-0.961
AUT,2015,-0.924
AUT,2016,-0.497
AUT,2017,0.199
AUT,2018,0.974
AUT,2019,0.704
AUT,2020,-1.87
AUT,2021,-1.604
AUT,2022,2.09
AUT,2023,0.689
AUT,2024,-0.906
AUT,2025,-1.159
AUT,2026,-1.144
BEL,1995,-0.808
BEL,1996,-1.64
BEL,1997,-0.306
BEL,1998,-0.718
BEL,1999,0.324
BEL,2000,1.562
BEL,2001,0.397
BEL,2002,-0.144
BEL,2003,-1.27
BEL,2004,-0.05
BEL,2005,0.079
BEL,2006,0.56
BEL,2007,2.346
BEL,2008,1.377
BEL,2009,-1.665
BEL,2010,-0.234
BEL,2011,0.52
BEL,2012,-0.35
BEL,2013,-1.136
BEL,2014,-0.57
BEL,2015,-0.298
BEL,2016,-0.285
BEL,2017,-0.064
BEL,2018,0.485
BEL,2019,1.526
BEL,2020,-4.502
BEL,2021,-0.529
BEL,2022,1.706
BEL,2023,1.112
BEL,2024,0.558
BEL,2025,0.179
BEL,2026,-0.134
CAN,1990,1.258
CAN,1991,-1.507
CAN,1992,-2.227
CAN,1993,-1.768
CAN,1994,0.302
CAN,1995,0.2
CAN,1996,-1.354
CAN,1997,-0.634
CAN,1998,-0.468
CAN,1999,0.865
CAN,2000,2.3
CAN,2001,0.657
CAN,2002,0.489
CAN,2003,-0.566
CAN,2004,-0.058
CAN,2005,0.863
CAN,2006,1.514
CAN,2007,1.851
CAN,2008,1.285
CAN,2009,-3.211
CAN,2010,-1.754
CAN,2011,-0.354
CAN,2012,-0.407
CAN,2013,0.041
CAN,2014,1.018
CAN,2015,-0.147
CAN,2016,-0.949
CAN,2017,0.374
CAN,2018,0.553
CAN,2019,0.358
CAN,2020,-3.357
CAN,2021,-1.434
CAN,2022,0.763
CAN,2023,-0.036
CAN,2024,-0.508
CAN,2025,-1.039
CAN,2026,-0.904
CAN,2027,-0.649
