ISO3,year,government_investment_gdp,private_sector_investment_gdp
AFG,1990,23.15028292,8.777773991
AFG,1991,22.50300621,8.532349209
AFG,1992,22.99847445,8.720213561
AFG,1993,21.15385835,8.020799797
AFG,1994,21.17123617,8.027388995
AFG,1995,24.10287093,9.138961903
AFG,1996,21.84951118,8.284567459
AFG,1997,21.65938221,8.212477584
AFG,1998,21.49373643,8.149670334
AFG,1999,21.28020416,8.068706669
AFG,2000,21.0495876,7.981265054
AFG,2001,23.43237043,8.88473323
AFG,2002,22.17096838,7.64377705
AFG,2003,20.47572366,7.594644634
AFG,2004,23.47347428,9.067341047
AFG,2005,23.18193425,8.699352053
AFG,2006,20.01788811,8.423578481
AFG,2007,20.25619366,3.451219407
AFG,2008,17.00010385,5.958795768
AFG,2009,23.8239797,5.419681261
AFG,2010,18.10428108,6.117540746
AFG,2011,14.88521025,5.549821881
AFG,2012,14.133067,5.618983178
AFG,2013,12.31650009,4.979135827
AFG,2014,8.367380642,4.265276955
AFG,2015,9.115326171,4.165943933
AFG,2016,9.054050026,3.925523981
AFG,2017,10.24546692,4.632043121
AFG,2018,10.69969734,4.606313076
AFG,2019,8.121292857,3.981332109
AGO,1990,3.320503623,9.040415298
AGO,1991,7.39268402,20.12734807
AGO,1992,12.68736493,34.54266547
AGO,1993,13.01710752,35.44042371
AGO,1994,12.65409921,34.45209541
AGO,1995,13.74345143,37.41797001
AGO,1996,25.14930198,42.04647339
AGO,1997,8.925938649,39.58187948
AGO,1998,10.64928549,53.38923599
AGO,1999,22.47234152,28.266389
AGO,2000,4.859004206,22.80109904
AGO,2001,4.193825372,20.43315764
AGO,2002,3.849586808,19.24640959
AGO,2003,5.065725046,20.20779734
AGO,2004,3.61669095,23.32354607
AGO,2005,3.951210886,22.31471633
AGO,2006,11.56022681,12.93939579
AGO,2007,10.15083055,13.91055445
AGO,2008,12.46782384,14.64663539
AGO,2009,9.144597999,20.21906234
AGO,2010,10.18261101,15.33371189
AGO,2011,9.742901867,17.45066595
