ISO,year,gini,income_share_b50,income_share_t10,share_ratio
AND,1990,0.4437,0.2093,0.325,1.5527950310559007
AND,1991,0.4412,0.2105,0.323,1.5344418052256532
AND,1992,0.45,0.2055,0.332,1.615571776155718
AND,1993,0.4578,0.1988,0.3345,1.682595573440644
AND,1994,0.4658,0.1937,0.3417,1.7640681466184822
AND,1995,0.463,0.1956,0.3386,1.7310838445807772
AND,1996,0.4639,0.1953,0.3403,1.742447516641065
AND,1997,0.4717,0.1919,0.3481,1.8139656070870247
AND,1998,0.4714,0.1926,0.3495,1.8146417445482865
AND,1999,0.472,0.1924,0.3499,1.8186070686070686
AND,2000,0.4786,0.1892,0.3557,1.8800211416490487
AND,2001,0.476,0.1893,0.3511,1.8547279450607503
AND,2002,0.471,0.1919,0.3461,1.8035435122459618
AND,2003,0.4747,0.1887,0.3476,1.8420773714891363
AND,2004,0.4829,0.1808,0.3504,1.9380530973451329
AND,2005,0.4832,0.1832,0.3528,1.925764192139738
AND,2006,0.4881,0.1816,0.3598,1.9812775330396475
AND,2007,0.486,0.184,0.3607,1.9603260869565218
AND,2008,0.4697,0.1916,0.3424,1.7870563674321502
AND,2009,0.4627,0.195,0.3348,1.7169230769230768
AND,2010,0.481,0.1843,0.3514,1.9066739012479652
AND,2011,0.4817,0.1833,0.3506,1.9127114020731044
AND,2012,0.4774,0.1844,0.344,1.865509761388286
AND,2013,0.4812,0.1819,0.3463,1.9037932930181418
AND,2014,0.4848,0.1806,0.3509,1.9429678848283498
AND,2015,0.484,0.1809,0.3499,1.9342177998894416
AND,2016,0.4836,0.1819,0.3513,1.931280923584387
AND,2017,0.4829,0.1832,0.3528,1.925764192139738
AND,2018,0.4811,0.1849,0.3525,1.906435911303407
AND,2019,0.478,0.1868,0.3502,1.8747323340471094
AND,2020,0.4784,0.186,0.3486,1.8741935483870968
AND,2021,0.4829,0.1844,0.3553,1.9267895878524945
AND,2022,0.4833,0.1849,0.3567,1.9291508923742564
AND,2023,0.4833,0.1849,0.3567,1.9291508923742564
AND,2024,0.4833,0.1849,0.3567,1.9291508923742564
ARE,1990,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1991,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1992,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1993,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1994,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1995,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1996,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1997,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1998,0.6428,0.1125,0.5505,4.8933333333333335
ARE,1999,0.6439,0.1118,0.5515,4.932915921288014
ARE,2000,0.645,0.1111,0.5527000000000001,4.974797479747975
ARE,2001,0.6462,0.1104,0.5539000000000001,5.017210144927537
ARE,2002,0.6475000000000001,0.1096,0.5551,5.064781021897811
ARE,2003,0.6489,0.1087,0.5565,5.119595216191352
ARE,2004,0.6504,0.10780000000000001,0.5579000000000001,5.175324675324676
ARE,2005,0.6519,0.1068,0.5594,5.237827715355805
ARE,2006,0.6536000000000001,0.1058,0.561,5.302457466918715
ARE,2007,0.6553,0.1047,0.5627,5.37440305635148
ARE,2008,0.6572,0.1035,0.5646,5.455072463768116
ARE,2009,0.6592,0.1023,0.5666,5.538611925708699
ARE,2010,0.6469,0.1066,0.5479,5.139774859287055
ARE,2011,0.6346,0.1109,0.5293,4.772768259693417
ARE,2012,0.6224000000000001,0.1152,0.5108,4.434027777777779
ARE,2013,0.6102000000000001,0.1195,0.4923,4.119665271966528
ARE,2014,0.614,0.1176,0.4959,4.216836734693878
ARE,2015,0.6065,0.1228,0.4936,4.019543973941368
ARE,2016,0.5989,0.1281,0.4913,3.83528493364559
ARE,2017,0.5912000000000001,0.1334,0.489,3.665667166416792
ARE,2018,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2019,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2020,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2021,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2022,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2023,0.5833,0.1389,0.4866,3.5032397408207343
ARE,2024,0.5833,0.1389,0.4866,3.5032397408207343
AFG,1990,0.4924,0.1912,0.4095,2.14173640167364
AFG,1991,0.4924,0.1912,0.4095,2.14173640167364
AFG,1992,0.4924,0.1912,0.4095,2.14173640167364
AFG,1993,0.4924,0.1912,0.4095,2.14173640167364
AFG,1994,0.4924,0.1912,0.4095,2.14173640167364
AFG,1995,0.4924,0.1912,0.4095,2.14173640167364
AFG,1996,0.4924,0.1912,0.4095,2.14173640167364
AFG,1997,0.4924,0.1912,0.4095,2.14173640167364
AFG,1998,0.4924,0.1912,0.4095,2.14173640167364
AFG,1999,0.4924,0.1912,0.4095,2.14173640167364
AFG,2000,0.4924,0.1912,0.4095,2.14173640167364
AFG,2001,0.4924,0.1912,0.4095,2.14173640167364
