ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
ALB,NA,2.2,NA,0.25
ALB,NA,-26.31,NA,-30.19
ALB,NA,19.02,NA,6.54
ALB,NA,14.72,NA,11.73
ALB,NA,-1.49,NA,3.02
ALB,NA,11.17,NA,8.78
ALB,NA,11.26,NA,8.21
ALB,NA,-10.27,NA,-11.93
ALB,NA,11.09,NA,8.15
ALB,NA,15.01,NA,10.05
ALB,NA,6.64,NA,2.78
ALB,NA,7.33,NA,2.6
ALB,NA,4.65,NA,-0.12
ALB,NA,4.85,NA,0.41
ALB,NA,4.95,NA,0.31
ALB,2184.52,5.41,NA,0.6
ALB,2181.47,5.56,6.05,1.15
ALB,2192.11,5.53,5.47,0.6
ALB,1980.4,11.91,18.99,5.83
ALB,1993.98,2.45,2.65,-1.19
ALB,1916.21,4.4,7.92,2.25
ALB,1756.38,-2.21,11.88,3.54
ALB,1969.94,0.25,-9.58,-7.72
ALB,1951.75,5.63,1.94,-3.12
ALB,1800.25,0.89,10.34,3.06
ALB,1918.73,-2.93,-4.09,-3.52
ALB,2125.46,-1.93,-6.2,-3.04
ALB,2231.61,-0.58,-1.63,-1.93
ALB,2354.6,-0.21,-1.74,-1.72
ALB,2450.82,-0.6,-1.94,-2.31
ALB,2228.19,1.35,6.35,-0.86
ALB,2354.98,7.33,3.1,3.41
ALB,2479.18,1.22,-0.42,-0.2
ALB,2461.45,4.25,4.69,2.05
ALB,2455.53,4.19,4.21,1.79
ALB,2450.95,3.74,3.76,1.35
DZA,NA,-4.2,NA,-4.75
DZA,NA,-4.4,NA,-4.0
DZA,NA,-0.77,NA,-0.91
DZA,NA,-3.54,NA,-4.0
DZA,NA,-3.05,NA,-3.23
DZA,NA,-1.54,NA,-0.63
DZA,NA,0.31,NA,0.55
DZA,NA,-2.2,NA,-1.97
DZA,NA,1.98,NA,1.95
DZA,NA,1.77,NA,0.73
DZA,NA,1.09,NA,0.56
DZA,NA,-2.57,NA,-1.72
DZA,NA,0.77,NA,0.66
DZA,NA,9.94,NA,5.26
DZA,NA,-10.41,NA,-6.18
DZA,18158.64,2.14,NA,0.76
DZA,19954.71,-6.7,-6.39,-4.56
DZA,19306.41,6.43,6.6,1.83
DZA,20471.57,-3.72,-3.38,-4.0
DZA,21152.25,-2.34,-2.1,-4.12
DZA,21685.79,1.98,2.24,0.1
DZA,21328.49,4.45,4.72,0.51
DZA,22466.42,-3.32,-2.76,-3.33
DZA,23683.02,-3.28,-2.67,-3.45
DZA,22468.45,9.67,9.71,3.18
DZA,23557.85,-0.29,-1.61,-2.62
DZA,24402.99,1.48,0.29,-1.2
DZA,24673.8,1.4,0.41,-1.93
DZA,24877.0,0.12,0.61,-1.8
DZA,25048.13,-0.14,0.24,-1.69
DZA,21980.95,1.96,8.24,-0.5
DZA,23435.39,0.98,-2.64,-1.58
DZA,25552.27,-3.37,-4.97,-2.87
DZA,25981.44,2.13,2.38,0.84
DZA,26296.97,2.59,2.6,0.54
DZA,26598.26,1.77,1.78,-0.29
AGO,NA,2.27,NA,4.22
AGO,NA,8.74,NA,9.73
AGO,NA,8.24,NA,6.5
AGO,NA,8.27,NA,5.57
AGO,NA,7.2,NA,4.8
AGO,NA,6.31,NA,2.86
AGO,NA,6.6,NA,0.64
AGO,NA,3.51,NA,1.64
AGO,NA,1.39,NA,-2.97
AGO,NA,-0.97,NA,-3.2
AGO,NA,-0.32,NA,1.71
AGO,NA,0.65,NA,3.02
AGO,NA,9.43,NA,11.46
AGO,NA,-0.19,NA,1.15
AGO,NA,7.2,NA,7.61
AGO,14286.27,9.93,NA,10.0
AGO,14879.09,7.52,7.38,8.01
AGO,15487.43,8.74,8.56,8.69
AGO,16089.91,6.77,6.64,4.82
AGO,16680.89,-1.54,-1.61,-3.52
AGO,17152.7,1.56,2.39,0.98
AGO,17920.79,-0.23,-0.85,-1.28
AGO,18621.31,4.51,4.42,3.53
AGO,19295.6,1.24,1.21,0.54
AGO,19968.19,1.17,1.13,0.59
AGO,20592.15,-2.26,-2.29,-2.78
AGO,21236.41,-4.68,-4.68,-4.32
AGO,21932.97,-3.26,-3.31,-1.48
AGO,22652.6,-3.7,-3.75,-1.9
AGO,23420.79,-3.41,-3.47,-1.72
AGO,23075.21,-6.71,-2.6,-4.71
AGO,25295.93,-4.44,-6.86,-0.61
AGO,26809.54,0.3,-1.66,1.6
AGO,27883.91,-2.63,-2.88,-1.04
AGO,28864.03,-1.08,-1.06,0.4
AGO,29886.84,-0.74,-0.73,0.65
ARG,23511.5,-2.6,-1.97,-0.5
ARG,24095.91,7.12,7.82,8.65
ARG,24326.36,8.54,9.25,8.26
ARG,24479.96,6.99,5.58,4.43
ARG,25767.56,1.88,0.54,1.81
ARG,24725.25,1.63,1.25,-2.22
ARG,25286.31,3.57,3.19,3.18
ARG,27321.4,0.43,0.06,3.06
ARG,28537.94,-0.21,-0.58,0.26
ARG,28569.08,-4.29,-3.49,-4.7
ARG,28232.43,-0.94,0.39,-1.16
ARG,26841.09,-2.21,0.55,-2.75
ARG,23931.86,-5.64,-0.06,-6.91
ARG,25191.96,3.72,3.51,6.97
ARG,27480.78,1.58,-0.16,4.77
ARG,29289.91,3.79,2.13,4.55
ARG,30930.05,2.56,2.32,3.63
ARG,32148.18,5.56,4.88,4.38
ARG,32776.11,2.19,2.06,0.21
ARG,32240.49,-6.39,-4.35,-6.72
ARG,33061.19,7.92,7.39,6.36
ARG,33899.61,3.38,3.38,2.15
ARG,34140.72,-3.07,-1.72,-2.94
ARG,34230.06,1.54,2.14,0.61
ARG,33880.38,-2.67,-1.51,-2.79
ARG,34018.99,2.19,2.31,1.52
ARG,32963.03,-2.32,1.06,-1.55
ARG,33544.62,1.18,1.04,0.64
ARG,33686.78,-3.64,-3.03,-3.95
ARG,33567.33,-3.23,-1.65,-2.45
ARG,29447.77,-2.62,2.7,-4.78
ARG,34790.93,-1.41,-6.52,1.24
ARG,34605.15,0.35,5.84,4.67
ARG,37614.71,-4.54,-9.48,-6.31
ARG,35347.38,-2.61,2.71,-1.24
ARG,35846.96,2.62,2.63,2.28
ARM,NA,-7.12,NA,NA
ARM,NA,-13.92,NA,-13.28
ARM,NA,-38.33,NA,-49.54
ARM,NA,-12.1,NA,-11.51
ARM,NA,9.3,NA,8.0
ARM,NA,8.91,NA,9.64
ARM,NA,8.1,NA,7.02
ARM,NA,8.21,NA,5.87
ARM,NA,9.05,NA,7.74
ARM,NA,6.27,NA,3.96
ARM,NA,7.51,NA,6.17
ARM,NA,10.59,NA,9.64
ARM,NA,31.31,NA,17.15
ARM,NA,13.85,NA,12.1
ARM,NA,13.13,NA,9.09
ARM,2183.48,12.45,NA,10.48
ARM,2176.98,13.82,13.54,8.79
ARM,2201.63,12.72,12.48,8.12
ARM,2587.77,-0.37,-9.01,0.39
ARM,2222.92,-11.92,-0.06,-16.56
ARM,2290.92,-0.56,-0.83,-1.02
ARM,2254.48,5.59,6.39,2.84
ARM,2259.33,7.32,6.9,5.27
ARM,2296.63,4.21,1.73,1.4
ARM,2282.27,6.35,4.26,4.49
ARM,2005.28,9.12,17.52,5.13
ARM,1868.86,6.87,7.51,1.08
ARM,1885.27,6.88,6.58,5.8
ARM,2097.05,1.51,-5.4,-0.68
ARM,2145.12,4.83,5.22,5.28
ARM,1957.84,-4.9,1.78,-6.93
ARM,2137.52,2.27,-3.12,1.58
ARM,2243.19,7.91,7.27,8.19
ARM,2297.74,5.73,5.74,4.71
ARM,2313.21,5.33,5.33,3.92
ARM,2276.4,6.68,6.7,3.41
AUS,13901.07,-0.28,0.55,-1.21
AUS,13463.29,1.48,2.24,-0.37
AUS,13378.0,3.07,3.24,1.66
AUS,13542.88,3.59,2.66,1.72
AUS,14009.09,1.65,1.38,0.94
AUS,14532.16,-0.69,-0.76,-0.98
AUS,14887.17,1.64,1.5,0.35
AUS,14950.39,4.11,4.26,1.78
AUS,15086.23,3.08,3.73,1.34
AUS,15256.11,2.6,3.28,1.23
AUS,15729.85,0.85,0.0,-1.31
AUS,15845.49,0.53,1.85,0.11
AUS,15868.83,2.9,4.01,1.26
AUS,16215.32,0.61,0.81,-1.07
AUS,16441.44,2.19,2.69,0.6
AUS,16902.48,0.2,0.22,-1.57
AUS,17236.68,0.09,0.63,-1.42
AUS,17750.66,1.16,1.32,-0.61
AUS,18305.85,-0.29,-0.51,-2.96
AUS,18488.52,0.63,0.96,-1.04
AUS,18488.84,1.34,2.42,-0.25
AUS,18992.53,0.4,0.05,-1.37
AUS,19230.08,2.6,2.51,-0.41
AUS,19361.93,0.98,1.52,-0.01
AUS,19475.34,2.16,1.98,-0.17
AUS,19640.78,1.1,1.48,0.09
AUS,19985.41,0.56,0.92,0.17
AUS,20275.45,0.78,0.91,-0.23
AUS,20806.11,-0.3,0.17,-0.12
AUS,21259.96,-0.34,-0.24,-0.68
AUS,20927.55,-2.34,-0.44,-2.92
AUS,21000.36,4.86,5.08,3.7
AUS,21538.95,0.91,1.54,0.9
AUS,22601.02,-1.3,-2.74,-2.15
AUS,22825.81,-1.46,0.04,-1.03
AUS,22824.66,1.61,1.62,0.2
AUT,6073.28,2.47,2.43,0.89
AUT,6183.35,2.18,1.6,-0.02
AUT,6104.58,1.64,3.41,0.76
AUT,6062.71,1.07,1.22,-1.09
AUT,6055.55,2.42,2.52,0.54
AUT,5946.86,3.03,4.54,1.76
AUT,6079.27,1.82,-0.01,-1.33
AUT,6152.39,1.4,0.93,-0.71
AUT,6140.7,2.46,3.69,1.47
AUT,6246.7,2.21,2.0,0.4
AUT,6309.05,2.22,2.17,0.45
AUT,6306.37,0.6,1.36,-0.72
AUT,6290.99,1.58,1.73,0.15
AUT,6301.62,0.48,0.97,-0.14
AUT,6349.91,1.92,1.79,-0.88
AUT,6336.97,1.1,2.53,1.56
AUT,6385.91,1.49,2.48,1.85
AUT,6463.71,1.91,2.53,1.89
AUT,6560.03,-0.44,-0.04,-1.3
AUT,6347.59,-3.07,-0.36,-3.7
AUT,6370.01,1.05,1.45,0.62
AUT,6492.92,1.35,0.98,0.59
AUT,6464.92,-0.41,1.06,-0.6
AUT,6434.54,-0.7,0.22,-1.37
AUT,6464.61,-0.24,0.29,-4.25
AUT,6415.77,0.7,2.07,0.44
AUT,6553.43,0.8,-0.03,-0.49
AUT,6618.79,0.61,1.26,0.25
AUT,6754.21,0.7,0.43,-0.01
AUT,6865.09,0.61,0.11,-0.83
AUT,6259.81,-4.76,2.74,-2.44
AUT,6569.9,2.72,-0.15,0.64
AUT,6729.97,2.62,2.77,2.53
AUT,6793.77,-1.78,-1.89,-2.84
AUT,6725.19,-1.22,-0.17,-1.6
AUT,6752.57,-0.6,-0.6,-1.31
AZE,NA,-9.01,NA,NA
AZE,NA,-1.46,NA,2.26
AZE,NA,-22.39,NA,-19.16
AZE,NA,-22.94,NA,-18.83
AZE,NA,-17.83,NA,-16.6
AZE,NA,-12.59,NA,-11.52
AZE,NA,0.48,NA,3.37
AZE,NA,8.67,NA,8.59
AZE,NA,5.8,NA,4.66
AZE,NA,9.0,NA,9.25
AZE,NA,4.22,NA,4.04
AZE,NA,5.5,NA,3.72
AZE,NA,8.33,NA,3.93
AZE,NA,9.06,NA,0.22
AZE,NA,8.05,NA,-0.94
AZE,7704.07,24.99,NA,14.53
AZE,7769.17,32.88,33.34,20.88
AZE,7782.77,23.46,24.78,14.28
AZE,7851.52,9.37,9.8,1.18
AZE,7947.24,7.82,7.94,1.55
AZE,8062.0,3.61,3.51,-2.3
AZE,8077.44,-0.95,-0.09,-10.12
AZE,8116.96,0.59,1.71,-8.18
AZE,8221.26,4.07,4.5,-5.79
AZE,8333.47,0.94,1.38,-7.95
AZE,8388.73,-0.41,0.41,-6.86
AZE,8590.76,-4.86,-5.34,-8.06
AZE,8720.1,-1.14,-1.33,-4.26
AZE,8802.49,0.28,0.52,-2.62
AZE,8596.77,4.49,4.93,-0.98
AZE,8217.09,-2.89,0.23,-6.1
AZE,8631.75,3.21,0.54,2.36
AZE,8774.77,3.22,3.01,2.21
AZE,8888.05,-0.14,-0.16,-1.71
AZE,8959.37,2.34,2.35,2.78
AZE,8987.68,2.66,2.68,2.74
BHR,NA,-3.99,NA,-4.13
BHR,NA,-1.63,NA,-2.96
BHR,NA,4.55,NA,1.73
BHR,NA,5.09,NA,2.44
