ISO3,year,cpi
AFG,2012,8
AFG,2013,8
AFG,2014,12
AFG,2015,11
AFG,2016,15
AFG,2017,15
AFG,2018,16
AFG,2019,16
AFG,2020,19
AFG,2021,16
AFG,2022,24
AFG,2023,20
AFG,2024,17
ALB,2012,33
ALB,2013,31
ALB,2014,33
ALB,2015,36
ALB,2016,39
ALB,2017,38
ALB,2018,36
ALB,2019,35
ALB,2020,36
ALB,2021,35
ALB,2022,36
ALB,2023,37
ALB,2024,42
DZA,2012,34
DZA,2013,36
DZA,2014,36
DZA,2015,36
DZA,2016,34
DZA,2017,33
DZA,2018,35
DZA,2019,35
DZA,2020,36
DZA,2021,33
DZA,2022,33
DZA,2023,36
DZA,2024,34
AGO,2012,22
AGO,2013,23
AGO,2014,19
AGO,2015,15
AGO,2016,18
AGO,2017,19
AGO,2018,19
AGO,2019,26
AGO,2020,27
AGO,2021,29
AGO,2022,33
AGO,2023,33
AGO,2024,32
ARG,2012,35
ARG,2013,34
ARG,2014,34
ARG,2015,32
ARG,2016,36
ARG,2017,39
ARG,2018,40
ARG,2019,45
ARG,2020,42
ARG,2021,38
ARG,2022,38
ARG,2023,37
ARG,2024,37
ARM,2012,34
ARM,2013,36
ARM,2014,37
ARM,2015,35
ARM,2016,33
ARM,2017,35
ARM,2018,35
ARM,2019,42
ARM,2020,49
ARM,2021,49
ARM,2022,46
ARM,2023,47
ARM,2024,47
AUS,2012,85
AUS,2013,81
AUS,2014,80
AUS,2015,79
AUS,2016,79
AUS,2017,77
AUS,2018,77
AUS,2019,77
AUS,2020,77
AUS,2021,73
AUS,2022,75
AUS,2023,75
AUS,2024,77
AUT,2012,69
AUT,2013,69
AUT,2014,72
AUT,2015,76
AUT,2016,75
AUT,2017,75
AUT,2018,76
AUT,2019,77
AUT,2020,76
AUT,2021,74
AUT,2022,71
AUT,2023,71
AUT,2024,67
AZE,2012,27
AZE,2013,28
AZE,2014,29
AZE,2015,29
AZE,2016,30
AZE,2017,31
AZE,2018,25
AZE,2019,30
AZE,2020,30
AZE,2021,30
AZE,2022,23
AZE,2023,23
AZE,2024,22
BHS,2012,71
BHS,2013,71
BHS,2014,71
BHS,2016,66
BHS,2017,65
BHS,2018,65
BHS,2019,64
BHS,2020,63
BHS,2021,64
BHS,2022,64
BHS,2023,64
BHS,2024,65
BHR,2012,51
BHR,2013,48
BHR,2014,49
BHR,2015,51
BHR,2016,43
BHR,2017,36
BHR,2018,36
BHR,2019,42
BHR,2020,42
BHR,2021,42
BHR,2022,44
BHR,2023,42
BHR,2024,53
BGD,2012,26
BGD,2013,27
BGD,2014,25
BGD,2015,25
BGD,2016,26
BGD,2017,28
BGD,2018,26
BGD,2019,26
BGD,2020,26
BGD,2021,26
BGD,2022,25
BGD,2023,24
BGD,2024,23
BRB,2012,76
BRB,2013,75
BRB,2014,74
BRB,2016,61
BRB,2017,68
BRB,2018,68
BRB,2019,62
BRB,2020,64
BRB,2021,65
BRB,2022,65
BRB,2023,69
BRB,2024,68
BLR,2012,31
BLR,2013,29
BLR,2014,31
BLR,2015,32
BLR,2016,40
BLR,2017,44
BLR,2018,44
BLR,2019,45
BLR,2020,47
BLR,2021,41
BLR,2022,39
BLR,2023,37
BLR,2024,33
BEL,2012,75
BEL,2013,75
BEL,2014,76
BEL,2015,77
BEL,2016,77
BEL,2017,75
BEL,2018,75
BEL,2019,75
BEL,2020,76
BEL,2021,73
BEL,2022,73
BEL,2023,73
BEL,2024,69
BEN,2012,36
BEN,2013,36
BEN,2014,39
BEN,2015,37
BEN,2016,36
BEN,2017,39
BEN,2018,40
BEN,2019,41
BEN,2020,41
BEN,2021,42
BEN,2022,43
BEN,2023,43
BEN,2024,45
BTN,2012,63
BTN,2013,63
BTN,2014,65
BTN,2015,65
BTN,2016,65
BTN,2017,67
BTN,2018,68
BTN,2019,68
BTN,2020,68
BTN,2021,68
BTN,2022,68
BTN,2023,68
BTN,2024,72
BOL,2012,34
BOL,2013,34
BOL,2014,35
BOL,2015,34
BOL,2016,33
BOL,2017,33
BOL,2018,29
BOL,2019,31
BOL,2020,31
BOL,2021,30
BOL,2022,31
BOL,2023,29
BOL,2024,28
BIH,2012,42
BIH,2013,42
BIH,2014,39
BIH,2015,38
BIH,2016,39
BIH,2017,38
BIH,2018,38
BIH,2019,36
BIH,2020,35
BIH,2021,35
BIH,2022,34
BIH,2023,35
BIH,2024,33
BWA,2012,65
BWA,2013,64
BWA,2014,63
BWA,2015,63
BWA,2016,60
BWA,2017,61
BWA,2018,61
BWA,2019,61
BWA,2020,60
BWA,2021,55
BWA,2022,60
BWA,2023,59
BWA,2024,57
BRA,2012,43
BRA,2013,42
BRA,2014,43
BRA,2015,38
BRA,2016,40
BRA,2017,37
BRA,2018,35
BRA,2019,35
BRA,2020,38
BRA,2021,38
BRA,2022,38
BRA,2023,36
BRA,2024,34
BRN,2012,55
BRN,2013,60
BRN,2016,58
BRN,2017,62
BRN,2018,63
BRN,2019,60
BRN,2020,60
BGR,2012,41
BGR,2013,41
BGR,2014,43
BGR,2015,41
BGR,2016,41
BGR,2017,43
BGR,2018,42
BGR,2019,43
BGR,2020,44
BGR,2021,42
BGR,2022,43
BGR,2023,45
BGR,2024,43
BFA,2012,38
BFA,2013,38
BFA,2014,38
BFA,2015,38
BFA,2016,42
BFA,2017,42
BFA,2018,41
BFA,2019,40
BFA,2020,40
BFA,2021,42
BFA,2022,42
BFA,2023,41
BFA,2024,41
BDI,2012,19
BDI,2013,21
BDI,2014,20
BDI,2015,21
BDI,2016,20
BDI,2017,22
BDI,2018,17
BDI,2019,19
BDI,2020,19
BDI,2021,19
BDI,2022,17
BDI,2023,20
BDI,2024,17
CPV,2012,60
CPV,2013,58
CPV,2014,57
CPV,2015,55
CPV,2016,59
CPV,2017,55
CPV,2018,57
CPV,2019,58
CPV,2020,58
CPV,2021,58
CPV,2022,60
CPV,2023,64
CPV,2024,62
KHM,2012,22
KHM,2013,20
KHM,2014,21
KHM,2015,21
KHM,2016,21
KHM,2017,21
KHM,2018,20
KHM,2019,20
KHM,2020,21
KHM,2021,23
KHM,2022,24
KHM,2023,22
KHM,2024,21
CMR,2012,26
CMR,2013,25
CMR,2014,27
CMR,2015,27
CMR,2016,26
CMR,2017,25
CMR,2018,25
CMR,2019,25
CMR,2020,25
CMR,2021,27
CMR,2022,26
CMR,2023,27
CMR,2024,26
CAN,2012,84
CAN,2013,81
CAN,2014,81
CAN,2015,83
CAN,2016,82
CAN,2017,82
CAN,2018,81
CAN,2019,77
CAN,2020,77
CAN,2021,74
CAN,2022,74
CAN,2023,76
CAN,2024,75
CAF,2012,26
CAF,2013,25
CAF,2014,24
CAF,2015,24
CAF,2016,20
CAF,2017,23
CAF,2018,26
CAF,2019,25
CAF,2020,26
CAF,2021,24
CAF,2022,24
CAF,2023,24
CAF,2024,24
TCD,2012,19
TCD,2013,19
TCD,2014,22
TCD,2015,22
TCD,2016,20
TCD,2017,20
TCD,2018,19
TCD,2019,20
TCD,2020,21
TCD,2021,20
TCD,2022,19
TCD,2023,20
TCD,2024,21
CHL,2012,72
CHL,2013,71
CHL,2014,73
CHL,2015,70
CHL,2016,66
CHL,2017,67
CHL,2018,67
CHL,2019,67
CHL,2020,67
CHL,2021,67
CHL,2022,67
CHL,2023,66
CHL,2024,63
CHN,2012,39
CHN,2013,40
CHN,2014,36
CHN,2015,37
CHN,2016,40
CHN,2017,41
CHN,2018,39
CHN,2019,41
CHN,2020,42
CHN,2021,45
CHN,2022,45
CHN,2023,42
CHN,2024,43
COL,2012,36
COL,2013,36
COL,2014,37
COL,2015,37
COL,2016,37
COL,2017,37
COL,2018,36
COL,2019,37
COL,2020,39
COL,2021,39
COL,2022,39
COL,2023,40
COL,2024,39
COM,2012,28
COM,2013,28
COM,2014,26
COM,2015,26
COM,2016,24
COM,2017,27
COM,2018,27
COM,2019,25
COM,2020,21
COM,2021,20
COM,2022,19
COM,2023,20
COM,2024,21
COG,2012,26
COG,2013,22
COG,2014,23
COG,2015,23
COG,2016,20
COG,2017,21
COG,2018,19
COG,2019,19
COG,2020,19
COG,2021,21
COG,2022,21
COG,2023,22
COG,2024,23
CRI,2012,54
CRI,2013,53
CRI,2014,54
CRI,2015,55
CRI,2016,58
CRI,2017,59
CRI,2018,56
CRI,2019,56
CRI,2020,57
CRI,2021,58
CRI,2022,54
CRI,2023,55
CRI,2024,58
CIV,2012,29
CIV,2013,27
CIV,2014,32
CIV,2015,32
CIV,2016,34
CIV,2017,36
CIV,2018,35
CIV,2019,35
CIV,2020,36
CIV,2021,36
CIV,2022,37
CIV,2023,40
CIV,2024,45
HRV,2012,46
HRV,2013,48
HRV,2014,48
HRV,2015,51
HRV,2016,49
HRV,2017,49
HRV,2018,48
HRV,2019,47
HRV,2020,47
HRV,2021,47
HRV,2022,50
HRV,2023,50
HRV,2024,47
CUB,2012,48
CUB,2013,46
CUB,2014,46
CUB,2015,47
CUB,2016,47
CUB,2017,47
CUB,2018,47
CUB,2019,48
CUB,2020,47
CUB,2021,46
CUB,2022,45
CUB,2023,42
CUB,2024,41
CYP,2012,66
CYP,2013,63
CYP,2014,63
CYP,2015,61
CYP,2016,55
CYP,2017,57
CYP,2018,59
CYP,2019,58
CYP,2020,57
CYP,2021,53
CYP,2022,52
CYP,2023,53
CYP,2024,56
CZE,2012,49
CZE,2013,48
CZE,2014,51
CZE,2015,56
CZE,2016,55
CZE,2017,57
CZE,2018,59
CZE,2019,56
CZE,2020,54
CZE,2021,54
CZE,2022,56
CZE,2023,57
CZE,2024,56
COD,2012,21
COD,2013,22
COD,2014,22
COD,2015,22
COD,2016,21
COD,2017,21
COD,2018,20
COD,2019,18
COD,2020,18
COD,2021,19
COD,2022,20
COD,2023,20
COD,2024,20
DNK,2012,90
DNK,2013,91
DNK,2014,92
DNK,2015,91
DNK,2016,90
DNK,2017,88
DNK,2018,88
DNK,2019,87
DNK,2020,88
DNK,2021,88
DNK,2022,90
DNK,2023,90
DNK,2024,90
DJI,2012,36
DJI,2013,36
DJI,2014,34
DJI,2015,34
DJI,2016,30
DJI,2017,31
DJI,2018,31
DJI,2019,30
DJI,2020,27
DJI,2021,30
DJI,2022,30
DJI,2023,30
DJI,2024,31
DMA,2012,58
DMA,2013,58
DMA,2014,58
DMA,2016,59
DMA,2017,57
DMA,2018,57
DMA,2019,55
DMA,2020,55
DMA,2021,55
DMA,2022,55
DMA,2023,56
DMA,2024,60
DOM,2012,32
DOM,2013,29
DOM,2014,32
DOM,2015,33
DOM,2016,31
DOM,2017,29
DOM,2018,30
DOM,2019,28
DOM,2020,28
DOM,2021,30
DOM,2022,32
DOM,2023,35
DOM,2024,36
ECU,2012,32
ECU,2013,35
ECU,2014,33
ECU,2015,32
ECU,2016,31
ECU,2017,32
ECU,2018,34
ECU,2019,38
ECU,2020,39
ECU,2021,36
ECU,2022,36
ECU,2023,34
ECU,2024,32
EGY,2012,32
EGY,2013,32
