ISO3,year,FHI_pr,FHI_cl,FHI_status
AFG,1990,7,7,NF
AFG,1991,7,7,NF
AFG,1992,6,6,NF
AFG,1993,7,7,NF
AFG,1994,7,7,NF
AFG,1995,7,7,NF
AFG,1996,7,7,NF
AFG,1997,7,7,NF
AFG,1998,7,7,NF
AFG,1999,7,7,NF
AFG,2000,7,7,NF
AFG,2001,7,7,NF
AFG,2002,6,6,NF
AFG,2003,6,6,NF
AFG,2004,5,6,NF
AFG,2005,PF,5,5
AFG,2006,5,5,PF
AFG,2007,5,5,PF
AFG,2008,5,6,NF
AFG,2009,6,6,NF
AFG,2010,6,6,NF
AFG,2011,6,6,NF
AFG,2012,6,6,NF
AFG,2013,6,6,NF
AFG,2014,6,6,NF
AFG,2015,6,6,NF
AFG,2016,6,6,NF
AFG,2017,5,6,NF
AFG,2018,5,6,NF
AFG,2019,5,6,NF
AFG,2020,5,6,NF
AFG,2021,7,6,NF
AFG,2022,7,7,NF
AFG,2023,7,7,NF
AFG,2024,7,7,NF
ALB,1990,7,6,NF
ALB,1991,4,4,PF
ALB,1992,4,3,PF
ALB,1993,2,4,PF
ALB,1994,3,4,PF
ALB,1995,3,4,PF
ALB,1996,4,4,PF
ALB,1997,4,4,PF
ALB,1998,4,5,PF
ALB,1999,4,5,PF
ALB,2000,4,5,PF
ALB,2001,3,4,PF
ALB,2002,3,3,PF
ALB,2003,3,3,PF
ALB,2004,3,3,PF
ALB,2005,PF,3,3
ALB,2006,3,3,PF
ALB,2007,3,3,PF
ALB,2008,3,3,PF
ALB,2009,3,3,PF
ALB,2010,3,3,PF
ALB,2011,3,3,PF
ALB,2012,3,3,PF
ALB,2013,3,3,PF
ALB,2014,3,3,PF
ALB,2015,3,3,PF
ALB,2016,3,3,PF
ALB,2017,3,3,PF
ALB,2018,3,3,PF
ALB,2019,3,3,PF
ALB,2020,3,3,PF
ALB,2021,3,3,PF
ALB,2022,3,3,PF
ALB,2023,3,3,PF
ALB,2024,3,3,PF
DZA,1990,4,4,PF
DZA,1991,4,4,PF
DZA,1992,7,6,NF
DZA,1993,7,6,NF
DZA,1994,7,7,NF
DZA,1995,6,6,NF
DZA,1996,6,6,NF
DZA,1997,6,6,NF
DZA,1998,6,5,NF
DZA,1999,6,5,NF
DZA,2000,6,5,NF
DZA,2001,6,5,NF
DZA,2002,6,5,NF
DZA,2003,6,5,NF
DZA,2004,6,5,NF
DZA,2005,NF,6,5
DZA,2006,6,5,NF
DZA,2007,6,5,NF
DZA,2008,6,5,NF
DZA,2009,6,5,NF
DZA,2010,6,5,NF
DZA,2011,6,5,NF
DZA,2012,6,5,NF
DZA,2013,6,5,NF
DZA,2014,6,5,NF
DZA,2015,6,5,NF
DZA,2016,6,5,NF
DZA,2017,6,5,NF
DZA,2018,6,5,NF
DZA,2019,6,5,NF
DZA,2020,6,5,NF
DZA,2021,6,5,NF
DZA,2022,6,5,NF
DZA,2023,6,5,NF
DZA,2024,6,5,NF
AND,1993,2,1,F
AND,1994,1,1,F
AND,1995,1,1,F
AND,1996,1,1,F
AND,1997,1,1,F
AND,1998,1,1,F
AND,1999,1,1,F
AND,2000,1,1,F
AND,2001,1,1,F
AND,2002,1,1,F
AND,2003,1,1,F
AND,2004,1,1,F
AND,2005,F,1,1
AND,2006,1,1,F
AND,2007,1,1,F
AND,2008,1,1,F
AND,2009,1,1,F
AND,2010,1,1,F
AND,2011,1,1,F
AND,2012,1,1,F
AND,2013,1,1,F
AND,2014,1,1,F
AND,2015,1,1,F
AND,2016,1,1,F
AND,2017,1,1,F
AND,2018,1,1,F
AND,2019,1,1,F
AND,2020,1,1,F
AND,2021,1,1,F
AND,2022,1,1,F
AND,2023,1,1,F
AND,2024,1,1,F
AGO,1990,7,7,NF
AGO,1991,6,4,PF
AGO,1992,6,6,NF
AGO,1993,7,7,NF
AGO,1994,7,7,NF
AGO,1995,6,6,NF
AGO,1996,6,6,NF
AGO,1997,6,6,NF
AGO,1998,6,6,NF
AGO,1999,6,6,NF
AGO,2000,6,6,NF
AGO,2001,6,6,NF
AGO,2002,6,5,NF
