ISO3,year,hdi
AFG,1990,0.285
AFG,1991,0.291
AFG,1992,0.301
AFG,1993,0.311
AFG,1994,0.305
AFG,1995,0.329
AFG,1996,0.334
AFG,1997,0.338
AFG,1998,0.338
AFG,1999,0.347
AFG,2000,0.351
AFG,2001,0.355
AFG,2002,0.383
AFG,2003,0.392
AFG,2004,0.408
AFG,2005,0.417
AFG,2006,0.426
AFG,2007,0.442
AFG,2008,0.446
AFG,2009,0.458
AFG,2010,0.465
AFG,2011,0.474
AFG,2012,0.484
AFG,2013,0.492
AFG,2014,0.497
AFG,2015,0.496
AFG,2016,0.495
AFG,2017,0.496
AFG,2018,0.498
AFG,2019,0.507
AFG,2020,0.501
AFG,2021,0.486
AFG,2022,0.495
AFG,2023,0.496
AGO,1999,0.379
AGO,2000,0.391
AGO,2001,0.401
AGO,2002,0.417
AGO,2003,0.435
AGO,2004,0.448
AGO,2005,0.463
AGO,2006,0.475
AGO,2007,0.492
AGO,2008,0.504
AGO,2009,0.517
AGO,2010,0.528
AGO,2011,0.545
AGO,2012,0.557
AGO,2013,0.567
AGO,2014,0.577
AGO,2015,0.603
AGO,2016,0.609
AGO,2017,0.61
AGO,2018,0.611
AGO,2019,0.611
AGO,2020,0.61
AGO,2021,0.609
AGO,2022,0.615
AGO,2023,0.616
ALB,1990,0.654
ALB,1991,0.638
ALB,1992,0.622
ALB,1993,0.624
ALB,1994,0.629
ALB,1995,0.638
ALB,1996,0.647
ALB,1997,0.645
ALB,1998,0.659
ALB,1999,0.671
ALB,2000,0.682
ALB,2001,0.691
ALB,2002,0.697
ALB,2003,0.705
ALB,2004,0.71
ALB,2005,0.723
ALB,2006,0.732
ALB,2007,0.742
ALB,2008,0.749
ALB,2009,0.756
ALB,2010,0.769
ALB,2011,0.781
ALB,2012,0.79
ALB,2013,0.793
ALB,2014,0.797
ALB,2015,0.797
ALB,2016,0.797
ALB,2017,0.798
ALB,2018,0.801
ALB,2019,0.805
ALB,2020,0.794
ALB,2021,0.794
ALB,2022,0.806
ALB,2023,0.81
AND,2000,0.825
AND,2001,0.832
AND,2002,0.838
AND,2003,0.84
AND,2004,0.849
AND,2005,0.842
AND,2006,0.851
AND,2007,0.859
AND,2008,0.864
AND,2009,0.866
AND,2010,0.87
AND,2011,0.875
AND,2012,0.876
AND,2013,0.862
AND,2014,0.866
AND,2015,0.869
AND,2016,0.872
AND,2017,0.873
AND,2018,0.875
AND,2019,0.876
AND,2020,0.851
AND,2021,0.871
AND,2022,0.893
AND,2023,0.913
ARE,1990,0.713
ARE,1991,0.724
ARE,1992,0.729
ARE,1993,0.736
ARE,1994,0.742
ARE,1995,0.747
ARE,1996,0.753
ARE,1997,0.761
ARE,1998,0.77
ARE,1999,0.78
ARE,2000,0.79
ARE,2001,0.798
ARE,2002,0.805
ARE,2003,0.81
ARE,2004,0.815
ARE,2005,0.819
ARE,2006,0.823
ARE,2007,0.827
ARE,2008,0.831
ARE,2009,0.832
ARE,2010,0.835
ARE,2011,0.839
ARE,2012,0.843
ARE,2013,0.846
ARE,2014,0.853
ARE,2015,0.857
ARE,2016,0.861
ARE,2017,0.884
ARE,2018,0.901
ARE,2019,0.915
ARE,2020,0.909
ARE,2021,0.903
ARE,2022,0.921
ARE,2023,0.94
ARG,1990,0.733
ARG,1991,0.739
ARG,1992,0.743
ARG,1993,0.748
ARG,1994,0.753
ARG,1995,0.754
ARG,1996,0.76
ARG,1997,0.768
ARG,1998,0.772
ARG,1999,0.783
ARG,2000,0.789
ARG,2001,0.795
ARG,2002,0.795
ARG,2003,0.804
ARG,2004,0.808
ARG,2005,0.812
ARG,2006,0.822
ARG,2007,0.825
ARG,2008,0.833
ARG,2009,0.835
ARG,2010,0.844
ARG,2011,0.852
ARG,2012,0.85
ARG,2013,0.852
ARG,2014,0.855
ARG,2015,0.859
ARG,2016,0.857
ARG,2017,0.861
ARG,2018,0.861
ARG,2019,0.861
ARG,2020,0.851
ARG,2021,0.847
ARG,2022,0.858
ARG,2023,0.865
ARM,1990,0.663
ARM,1991,0.652
ARM,1992,0.618
ARM,1993,0.621
ARM,1994,0.625
ARM,1995,0.631
ARM,1996,0.635
ARM,1997,0.644
ARM,1998,0.655
ARM,1999,0.661
ARM,2000,0.667
ARM,2001,0.672
ARM,2002,0.682
ARM,2003,0.692
ARM,2004,0.7
ARM,2005,0.711
ARM,2006,0.725
ARM,2007,0.739
ARM,2008,0.743
ARM,2009,0.741
ARM,2010,0.747
ARM,2011,0.752
ARM,2012,0.761
ARM,2013,0.766
ARM,2014,0.772
ARM,2015,0.777
ARM,2016,0.783
ARM,2017,0.785
ARM,2018,0.789
ARM,2019,0.796
ARM,2020,0.761
ARM,2021,0.786
ARM,2022,0.801
ARM,2023,0.811
ATG,2007,0.827
ATG,2008,0.83
ATG,2009,0.827
ATG,2010,0.828
ATG,2011,0.828
ATG,2012,0.833
ATG,2013,0.835
ATG,2014,0.837
ATG,2015,0.839
ATG,2016,0.842
ATG,2017,0.845
ATG,2018,0.85
ATG,2019,0.851
ATG,2020,0.84
ATG,2021,0.843
ATG,2022,0.848
ATG,2023,0.851
AUS,1990,0.867
AUS,1991,0.868
AUS,1992,0.868
AUS,1993,0.872
AUS,1994,0.873
AUS,1995,0.882
AUS,1996,0.884
AUS,1997,0.887
AUS,1998,0.891
AUS,1999,0.893
AUS,2000,0.897
AUS,2001,0.9
AUS,2002,0.902
AUS,2003,0.906
AUS,2004,0.91
AUS,2005,0.914
AUS,2006,0.917
AUS,2007,0.919
AUS,2008,0.924
AUS,2009,0.927
AUS,2010,0.929
AUS,2011,0.933
AUS,2012,0.938
AUS,2013,0.935
AUS,2014,0.937
AUS,2015,0.938
AUS,2016,0.939
AUS,2017,0.94
AUS,2018,0.945
AUS,2019,0.947
AUS,2020,0.95
AUS,2021,0.954
AUS,2022,0.952
AUS,2023,0.958
AUT,1990,0.832
AUT,1991,0.835
AUT,1992,0.841
AUT,1993,0.845
AUT,1994,0.851
AUT,1995,0.856
AUT,1996,0.861
AUT,1997,0.865
AUT,1998,0.87
AUT,1999,0.874
AUT,2000,0.879
AUT,2001,0.883
AUT,2002,0.887
AUT,2003,0.889
AUT,2004,0.895
AUT,2005,0.898
AUT,2006,0.902
AUT,2007,0.905
AUT,2008,0.907
AUT,2009,0.907
AUT,2010,0.912
AUT,2011,0.915
AUT,2012,0.916
AUT,2013,0.915
AUT,2014,0.919
AUT,2015,0.919
AUT,2016,0.921
AUT,2017,0.922
AUT,2018,0.925
AUT,2019,0.928
AUT,2020,0.925
AUT,2021,0.93
AUT,2022,0.927
AUT,2023,0.93
AZE,1995,0.618
AZE,1996,0.622
AZE,1997,0.626
AZE,1998,0.636
AZE,1999,0.646
AZE,2000,0.652
AZE,2001,0.66
AZE,2002,0.669
AZE,2003,0.676
AZE,2004,0.682
AZE,2005,0.692
AZE,2006,0.711
AZE,2007,0.72
AZE,2008,0.731
AZE,2009,0.74
AZE,2010,0.744
AZE,2011,0.746
AZE,2012,0.751
AZE,2013,0.757
AZE,2014,0.766
AZE,2015,0.771
AZE,2016,0.772
AZE,2017,0.774
AZE,2018,0.775
AZE,2019,0.78
AZE,2020,0.757
AZE,2021,0.765
AZE,2022,0.784
