ISO3,year,eci,FHI_pr,FHI_cl,FHI_status,cpi,hdi,pub_per_million
DZA,1999,-0.6868493135,6,5,NF,NA,0.643,10.205302
DZA,1998,-0.8406770245,6,5,NF,NA,0.634,10.008606
DZA,2000,-0.7896694508,6,5,NF,NA,0.651,12.35443
DZA,2001,-0.682260418,6,5,NF,NA,0.659,14.280643
DZA,2005,-0.6930978976,NF,6,5,NA,0.692,27.086086
DZA,2003,-0.7215040475,6,5,NF,NA,0.677,19.747751
DZA,2002,-0.8593053158,6,5,NF,NA,0.669,15.390462
DZA,2004,-0.7310599655,6,5,NF,NA,0.685,26.257586
DZA,2006,-0.7692209326,6,5,NF,NA,0.698,37.870827
DZA,2009,-0.6036632794,6,5,NF,NA,0.714,59.6059
DZA,2010,-0.7105656232,6,5,NF,NA,0.718,57.8478
DZA,2022,-0.7153317957,6,5,NF,33,0.761,167.26224
DZA,2007,-0.7573981135,6,5,NF,NA,0.704,40.841587
DZA,2011,-0.7544055689,6,5,NF,NA,0.718,65.17046
DZA,2008,-0.7278217464,6,5,NF,NA,0.711,50.231552
DZA,2024,-0.6915750048207505,6,5,NF,34,NA,NA
DZA,2023,-0.7475989307,6,5,NF,36,0.763,NA
DZA,2017,-0.9928442642,6,5,NF,33,0.746,123.33382
DZA,2016,-1.0325600136,6,5,NF,34,0.743,108.882286
DZA,2018,-0.9881302492,6,5,NF,35,0.749,124.48525
DZA,2019,-1.0544071113,6,5,NF,35,0.753,143.91144
DZA,2012,-1.0715146861,6,5,NF,34,0.723,79.6615
DZA,2021,-0.9834207663,6,5,NF,33,0.755,152.78893
DZA,2013,-1.0878082627,6,5,NF,36,0.727,88.43169
DZA,2015,-1.0011054839,6,5,NF,36,0.737,101.720085
DZA,2014,-1.0490538954,6,5,NF,36,0.732,92.29964
DZA,2020,-1.2247462254,6,5,NF,36,0.742,129.64507
EGY,1998,-0.6164514098,6,6,NF,NA,0.629,34.347256
EGY,2005,-0.3495038849,NF,6,5,NA,0.648,44.607338
EGY,2017,-0.0880553471,6,6,NF,32,0.72,107.88771
EGY,2018,-0.0950502412,6,6,NF,35,0.728,124.873
EGY,2020,-0.1484934818,6,6,NF,33,0.736,164.74655
EGY,2016,-0.1241391884,6,5,NF,34,0.713,109.47351
EGY,2019,-0.1467538065,6,6,NF,35,0.736,143.63586
EGY,2023,-0.1091920678,6,6,NF,35,0.754,NA
EGY,1999,-0.6058786276,6,5,NF,NA,0.634,33.622875
EGY,2004,-0.4223333471,6,5,NF,NA,0.645,44.798244
EGY,2021,-0.0952148189,6,6,NF,33,0.738,192.68175
EGY,2024,-0.10649493829398925,6,6,NF,30,NA,NA
EGY,2000,-0.5960269839,6,5,NF,NA,0.639,36.708122
EGY,2015,-0.1318372487,6,5,NF,36,0.706,97.49197
EGY,2022,-0.1129900828,6,6,NF,30,0.751,213.33131
EGY,2003,-0.5153509866,6,6,NF,NA,0.643,45.65688
EGY,2002,-0.5533272069,6,6,NF,NA,0.643,39.61627
EGY,2008,-0.2349489919,6,5,NF,NA,0.665,56.568703
EGY,2001,-0.5915598519,6,6,NF,NA,0.642,39.56289
EGY,2006,-0.3906682314,6,5,NF,NA,0.651,47.637856
EGY,2009,-0.2649950008,6,5,NF,NA,0.671,68.71517
EGY,2014,-0.1466010656,6,5,NF,37,0.699,92.43181
EGY,2007,-0.2872831869,6,5,NF,NA,0.658,52.508526
EGY,2010,-0.2850623207,6,5,NF,NA,0.677,73.70437
EGY,2013,-0.2597125972,6,5,NF,32,0.695,89.26249
EGY,2012,-0.3016617219,5,5,PF,32,0.689,88.89256
EGY,2011,-0.3540974069,6,5,NF,NA,0.68,78.70303
LBY,1998,-0.8264166145,7,7,NF,NA,0.721,10.529686
LBY,2011,-0.1843760445,7,6,NF,NA,0.715,19.789686
LBY,1999,-0.8654741783,7,7,NF,NA,0.724,7.554563
LBY,2005,-0.5643896945,NF,7,7,NA,0.747,13.221142
LBY,2001,-0.6916951736,7,7,NF,NA,0.73,8.492425
LBY,2004,-0.6298104432,7,7,NF,NA,0.741,11.438646
LBY,2010,-0.4069785034,7,7,NF,NA,0.755,45.659798
LBY,2002,-0.8018221175,7,7,NF,NA,0.733,7.46858
LBY,2012,-0.33079897,4,5,PF,21,0.758,24.646694
LBY,2000,-1.0482652172,7,7,NF,NA,0.727,11.575826
LBY,2003,-0.7246222432,7,7,NF,NA,0.739,9.262558
LBY,2006,-0.6522999128,7,7,NF,NA,0.751,15.445944
LBY,2007,-0.7018199856,7,7,NF,NA,0.754,19.28779
LBY,2009,-0.6297988159,7,7,NF,NA,0.753,37.51245
LBY,2024,-0.643461309529756,7,6,NF,13,NA,NA
LBY,2017,-0.7824531042,7,6,NF,17,0.74,24.132
LBY,2008,-0.8092752617,7,7,NF,NA,0.754,21.668114
LBY,2022,-0.8619213532,7,6,NF,17,0.741,56.47301
LBY,2016,-0.9053397636,7,6,NF,14,0.725,21.175714
LBY,2023,-0.841850336,7,6,NF,18,0.721,NA
LBY,2013,-1.0837176239,4,5,PF,15,0.748,32.315945
LBY,2018,-1.0489194079,7,6,NF,17,0.743,24.50557
LBY,2021,-1.2779424236,7,6,NF,17,0.729,63.947975
LBY,2015,-1.2844839161,6,6,NF,16,0.728,26.91287
LBY,2019,-1.3496663847,7,6,NF,18,0.737,26.781631
LBY,2020,-1.3181843258,7,6,NF,17,0.688,34.91073
LBY,2014,-1.3593004477,6,6,NF,18,0.728,30.258654
MAR,1998,-0.9876673888,5,4,PF,NA,0.507,24.578548
MAR,2024,-0.26347622756901756,5,5,PF,37,NA,NA
MAR,1999,-0.9959706385,5,4,PF,NA,0.517,29.000063
MAR,2021,-0.3574674324,5,5,PF,39,0.69,199.93916
MAR,2000,-0.9285646209,5,4,PF,NA,0.528,30.620508
MAR,2022,-0.3962198773,5,5,PF,38,0.704,226.23497
MAR,2023,-0.3591385497,5,5,PF,38,0.71,NA
MAR,2020,-0.5380384911,5,5,PF,40,0.683,173.8578
MAR,2001,-0.9548000676,5,5,PF,NA,0.539,33.627693
MAR,2002,-1.0715922491,5,5,PF,NA,0.55,32.564056
MAR,2007,-0.6877103852,5,4,PF,NA,0.586,32.86009
MAR,2019,-0.6014968706,5,5,PF,41,0.687,152.21109
MAR,2003,-1.0924627929,5,5,PF,NA,0.56,31.431705
MAR,2005,-0.9252318067,PF,5,4,NA,0.573,30.397774
MAR,2006,-0.8585446265,5,4,PF,NA,0.579,31.798262
MAR,2004,-1.0310603325,5,4,PF,NA,0.567,32.33564
MAR,2011,-0.7485006606,5,4,PF,NA,0.619,57.34128
MAR,2016,-0.7191143684,5,4,PF,37,0.665,104.30096
MAR,2017,-0.6903622493,5,5,PF,40,0.674,113.33424
MAR,2012,-0.7359426028,5,4,PF,37,0.629,63.51476
MAR,2008,-0.7320423604,5,4,PF,NA,0.593,38.20796
MAR,2009,-0.7915186346,5,4,PF,NA,0.598,45.475636
MAR,2010,-0.8049531024,5,4,PF,NA,0.607,49.123703
MAR,2013,-0.7867718281,5,4,PF,37,0.639,63.953697
MAR,2015,-0.663991437,5,4,PF,36,0.659,71.82731
MAR,2018,-0.6958868065,5,5,PF,43,0.68,133.7149
MAR,2014,-0.6706965399,5,4,PF,39,0.648,72.6457
SDN,2001,-0.781303145,7,7,NF,NA,NA,2.2155385
SDN,2003,-0.7025263502,7,7,NF,NA,NA,2.845528
SDN,2002,-0.7685580419,7,7,NF,NA,NA,2.4612772
SDN,2004,-0.721673,7,7,NF,NA,NA,3.2693388
SDN,2005,-1.1976986019,NF,7,7,NA,NA,3.5074034
SDN,2006,-1.7142869145,7,7,NF,NA,NA,3.1948178
SDN,2007,-1.6731806166,7,7,NF,NA,NA,4.1008253
SDN,2016,-1.3849191833,7,7,NF,14,0.502,8.860663
SDN,2008,-1.772122196,7,7,NF,NA,0.456,4.4521794
SDN,2017,-1.4382133572,7,7,NF,16,0.506,7.5316687
SDN,2020,-1.2976940904,7,6,NF,16,0.513,8.243136
SDN,2022,-1.2876088038,7,6,NF,22,0.516,10.269049
SDN,2023,-1.2434268069,7,6,NF,20,0.511,NA
SDN,2009,-1.9137050139,7,7,NF,NA,0.469,5.5292134
SDN,2018,-1.379230552,7,7,NF,16,0.515,9.055496
SDN,2010,-1.9453094666,7,7,NF,NA,0.479,6.7449965
SDN,2013,-1.443838373,7,7,NF,11,0.488,8.5015955
SDN,2014,-1.2985797256,7,7,NF,11,0.496,5.712289
SDN,2015,-1.3215009472,7,7,NF,12,0.498,6.2921567
SDN,2024,-1.5196552492382505,7,7,NF,15,NA,NA
SDN,2019,-1.4485761259,7,6,NF,16,0.517,8.566315
SDN,2021,-1.3126949568,7,6,NF,20,0.512,11.398898
SDN,2011,-2.0265195158,7,7,NF,NA,0.476,7.5543413
SDN,2012,-1.6519761137,7,7,NF,13,0.482,6.6012735
TUN,2024,0.15915627857827758,6,4,PF,39,NA,NA
TUN,2021,0.1873211705,3,3,PF,44,0.728,425.1283
TUN,2022,0.1733837663,4,3,PF,40,0.745,472.80072
TUN,2023,0.1292216186,5,3,PF,40,0.746,NA
TUN,2020,0.0806958224,2,3,F,44,0.733,413.8731
TUN,2018,0.0544807096,2,3,F,43,0.742,472.4086
TUN,2019,0.0608541545,2,3,F,43,0.74,438.3347
TUN,2016,-0.0190251829,1,3,F,41,0.733,469.7062
TUN,2017,0.0178235611,2,3,F,42,0.737,481.88068
TUN,2015,0.0023490285,1,3,F,38,0.728,427.38617
TUN,2011,-0.1007992555,3,4,PF,NA,0.718,339.80875
TUN,2014,0.0135062709,1,3,F,40,0.725,401.69452
TUN,2005,-0.3361718805,NF,6,5,NA,0.69,167.85283
TUN,2012,-0.0747886915,3,4,PF,41,0.72,345.2118
TUN,2004,-0.405988039,6,5,NF,NA,0.683,133.25676
TUN,2003,-0.4758011206,6,5,NF,NA,0.673,106.51203
TUN,2008,-0.1960689739,7,5,NF,NA,0.709,262.5321
TUN,2001,-0.5417288279,6,5,NF,NA,0.661,81.065475
TUN,2002,-0.5276914659,6,5,NF,NA,0.667,98.42436
TUN,2006,-0.3258821803,6,5,NF,NA,0.697,192.15747
TUN,2007,-0.1956727228,7,5,NF,NA,0.703,221.17084
TUN,2009,-0.200014884,7,5,NF,NA,0.713,303.02945
TUN,2013,-0.1090456204,3,3,PF,41,0.722,379.71304
TUN,2010,-0.1846748104,7,5,NF,NA,0.717,321.37344
TUN,1999,-0.8373773502,6,5,NF,NA,0.646,62.42878
TUN,1998,-0.8918542695,6,5,NF,NA,0.636,58.220436
TUN,2000,-0.717315987,6,5,NF,NA,0.654,67.25083
ETH,2022,-0.7769519147,6,6,NF,38,0.494,57.071903
ETH,2021,-0.8392735298,5,6,NF,39,0.487,46.799297
ETH,2018,-0.7734315657,6,6,NF,34,0.476,18.64364
ETH,2020,-0.8864148422,6,6,NF,38,0.486,34.830147
ETH,2009,-0.9100045729,5,5,PF,NA,0.405,4.638234
ETH,2019,-0.8743185094,6,6,NF,37,0.482,23.633072
ETH,2023,-0.835690556,6,6,NF,37,0.497,NA
ETH,2010,-1.0017931752,6,6,NF,NA,0.415,4.9236503
ETH,2017,-0.9182640035,7,6,NF,35,0.47,14.870543
ETH,2016,-0.9954494476,7,6,NF,34,0.463,10.948559
ETH,2024,-0.9543370975363306,6,6,NF,37,NA,NA
ETH,2011,-1.0814076842,6,6,NF,NA,0.425,5.284382
ETH,2014,-1.0320388849,6,6,NF,33,0.449,9.744589
ETH,2015,-1.0127298435,7,6,NF,33,0.456,9.770174
ETH,2012,-1.1495445302,6,6,NF,33,0.433,6.7853694
ETH,2013,-1.1835300944,6,6,NF,33,0.441,7.836548
KEN,1998,-0.2141163188,6,5,NF,NA,0.496,12.479552
KEN,2000,-0.1452542243,6,5,NF,NA,0.5,11.75085
KEN,1999,-0.1484483937,6,5,NF,NA,0.499,12.17923
KEN,2001,-0.2030740455,6,5,NF,NA,0.505,12.805523
KEN,2002,-0.3355305042,4,4,PF,NA,0.504,13.519541
KEN,2003,-0.5390706481,3,3,PF,NA,0.515,12.617888
KEN,2004,-0.5487323892,3,3,PF,NA,0.526,12.978829
KEN,2005,-0.5148776158,PF,3,3,NA,0.532,12.866068
KEN,2006,-0.4378106223,3,3,PF,NA,0.541,13.103455
KEN,2007,-0.3204574279,4,3,PF,NA,0.548,14.349169
KEN,2008,-0.3410492778,4,3,PF,NA,0.553,15.077149
KEN,2009,-0.3653229336,4,4,PF,NA,0.553,17.390726
KEN,2010,-0.4167365612,4,3,PF,NA,0.552,18.04413
KEN,2019,-0.5208131021,4,4,PF,28,0.611,28.574007
KEN,2020,-0.4951463302,4,4,PF,31,0.6,34.208374
KEN,2018,-0.5428731118,4,4,PF,27,0.605,26.585281
KEN,2021,-0.5599400401,4,4,PF,30,0.608,37.14301
KEN,2014,-0.4467084306,4,4,PF,25,0.576,20.319233
KEN,2016,-0.5656600202,4,4,PF,26,0.594,22.854946
KEN,2024,-0.5063224432168749,4,4,PF,32,NA,NA
KEN,2011,-0.553203551,4,3,PF,NA,0.56,19.430305
KEN,2012,-0.5484721598,4,4,PF,27,0.565,18.036242
KEN,2017,-0.5872214488,4,4,PF,28,0.599,24.21614
KEN,2023,-0.4711243226,4,4,PF,31,0.628,NA
KEN,2015,-0.4959509824,4,4,PF,25,0.583,21.276733
KEN,2022,-0.5598673379,4,4,PF,32,0.626,36.996296
KEN,2013,-0.5738839416,4,4,PF,27,0.57,18.97757
MDG,2012,-1.0600166536,6,4,PF,32,0.496,4.011092
MDG,2009,-1.1889129944,6,4,PF,NA,0.493,3.980085
MDG,2021,-1.1549799417,3,4,PF,26,0.481,5.867081
MDG,2013,-1.2314022694,5,4,PF,28,0.497,4.6745467
MDG,2022,-1.216915505,3,4,PF,26,0.483,5.146981
MDG,2023,-1.1533077912,3,4,PF,25,0.487,NA
MDG,2020,-1.2788791638,3,4,PF,25,0.483,6.070411
MDG,2016,-1.396814457,3,4,PF,26,0.501,3.8582444
MDG,2017,-1.3622582957,3,4,PF,24,0.505,4.9737997
MDG,2024,-1.1894750950930095,4,4,PF,26,NA,NA
MDG,2014,-1.2517883305,4,4,PF,28,0.5,4.6001616
MDG,2015,-1.2468597649,3,4,PF,28,0.501,4.182611
MDG,2018,-1.3444043753,3,4,PF,25,0.501,4.5390196
MDG,2019,-1.3472963508,3,3,PF,24,0.495,4.3391895
MOZ,2005,-0.8477607918,PF,3,4,NA,0.371,1.9143474
MOZ,2004,-0.9372608909,3,4,PF,NA,0.36,1.6254784
MOZ,2006,-1.0287189451,3,4,PF,NA,0.379,2.1436386
MOZ,2007,-1.0385646897,3,3,PF,NA,0.392,2.002571
MOZ,2008,-1.0480083111,3,3,PF,NA,0.403,2.231996
MOZ,2009,-1.0677460899,4,3,PF,NA,0.411,2.606764
MOZ,2010,-1.1726853026,4,3,PF,NA,0.419,2.028763
MOZ,2013,-1.0406029407,4,3,PF,30,0.443,2.791038
