ISO3,year,eci
DZA,1999,-0.6868493135
DZA,1998,-0.8406770245
DZA,2000,-0.7896694508
DZA,2001,-0.682260418
DZA,2005,-0.6930978976
DZA,2003,-0.7215040475
DZA,2002,-0.8593053158
DZA,2004,-0.7310599655
DZA,2006,-0.7692209326
DZA,2009,-0.6036632794
DZA,2010,-0.7105656232
DZA,2022,-0.7153317957
DZA,2007,-0.7573981135
DZA,2011,-0.7544055689
DZA,2008,-0.7278217464
DZA,2023,-0.7475989307
DZA,2017,-0.9928442642
DZA,2016,-1.0325600136
DZA,2018,-0.9881302492
DZA,2019,-1.0544071113
DZA,2012,-1.0715146861
DZA,2021,-0.9834207663
DZA,2013,-1.0878082627
DZA,2015,-1.0011054839
DZA,2014,-1.0490538954
DZA,2020,-1.2247462254
EGY,1998,-0.6164514098
EGY,2005,-0.3495038849
EGY,2017,-0.0880553471
EGY,2018,-0.0950502412
EGY,2020,-0.1484934818
EGY,2016,-0.1241391884
EGY,2019,-0.1467538065
EGY,2023,-0.1091920678
EGY,1999,-0.6058786276
EGY,2004,-0.4223333471
EGY,2021,-0.0952148189
EGY,2000,-0.5960269839
EGY,2015,-0.1318372487
EGY,2022,-0.1129900828
EGY,2003,-0.5153509866
EGY,2002,-0.5533272069
EGY,2008,-0.2349489919
EGY,2001,-0.5915598519
EGY,2006,-0.3906682314
EGY,2009,-0.2649950008
EGY,2014,-0.1466010656
EGY,2007,-0.2872831869
EGY,2010,-0.2850623207
EGY,2013,-0.2597125972
EGY,2012,-0.3016617219
EGY,2011,-0.3540974069
LBY,1998,-0.8264166145
LBY,2011,-0.1843760445
LBY,1999,-0.8654741783
LBY,2005,-0.5643896945
LBY,2001,-0.6916951736
LBY,2004,-0.6298104432
LBY,2010,-0.4069785034
LBY,2002,-0.8018221175
LBY,2012,-0.33079897
LBY,2000,-1.0482652172
LBY,2003,-0.7246222432
LBY,2006,-0.6522999128
LBY,2007,-0.7018199856
LBY,2009,-0.6297988159
LBY,2017,-0.7824531042
LBY,2008,-0.8092752617
LBY,2022,-0.8619213532
LBY,2016,-0.9053397636
LBY,2023,-0.841850336
LBY,2013,-1.0837176239
LBY,2018,-1.0489194079
LBY,2021,-1.2779424236
LBY,2015,-1.2844839161
LBY,2019,-1.3496663847
LBY,2020,-1.3181843258
LBY,2014,-1.3593004477
MAR,1998,-0.9876673888
MAR,1999,-0.9959706385
MAR,2021,-0.3574674324
MAR,2000,-0.9285646209
MAR,2022,-0.3962198773
MAR,2023,-0.3591385497
MAR,2020,-0.5380384911
MAR,2001,-0.9548000676
MAR,2002,-1.0715922491
MAR,2007,-0.6877103852
MAR,2019,-0.6014968706
MAR,2003,-1.0924627929
MAR,2005,-0.9252318067
MAR,2006,-0.8585446265
MAR,2004,-1.0310603325
MAR,2011,-0.7485006606
MAR,2016,-0.7191143684
MAR,2017,-0.6903622493
MAR,2012,-0.7359426028
MAR,2008,-0.7320423604
MAR,2009,-0.7915186346
MAR,2010,-0.8049531024
MAR,2013,-0.7867718281
MAR,2015,-0.663991437
MAR,2018,-0.6958868065
MAR,2014,-0.6706965399
SDN,2001,-0.781303145
SDN,2003,-0.7025263502
