year,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,COCONUT_OIL,PALM_OIL,SOYBEANS,BARLEY,MAIZE,RICE_05,WHEAT_US_HRW,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SUGAR_WLD,TOBAC_US,PLYWOOD,COTTON_A_INDX,RUBBER1_MYSG,CRUDE_PETRO,NGAS_EUR,COAL_AUS,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,TIN,NICKEL,ZINC,GOLD,PLATINUM,SILVER
1990,1.26666666667,1.9722,1.181725,2.05750833333,336.5,289.75,246.75,79.924999999999997,109.27583333333,270.85416666667,135.5225,0.54085,0.53106083333,2.56323333333,1.08210098333,2.6566166666700002,0.276675,3392.18583333333,354.86833333332999,1.81914166667,0.86468333333,22.87916666667,2.82,39.666666666669997,31.29166666667,154.67500000000001,131.82083333333,115.64583333333,94.63125,1639.445,32.5,2661.4825,810.54166666667,6085.38333333333,8864.1,1513.45833333333,383.46666666667,471.58916666667,4.833225
1991,1.19505833333,1.87339166667,1.071925,1.67400833333,433,339,239.58333333333,78.286666666670001,107.42,293.27916666667,128.665,0.55946166667,0.52095083333,2.66335833333,1.05608646733,2.331175,0.19759166667,3500.06833333333,372.37666666667002,1.67740833333,0.82576666667,19.37083333333,3.11416666667,39.666666666669997,31.5,158.25,133.12083333333,138.39583333333,106.42916666667,1302.18833333333,34.76,2338.7825,557.61666666667,5595.04166666667,8155.61666666667,1116.99166666667,362.1825,375.81666666667,4.05135833333
1992,1.09956666667,1.41191666667,0.940425,1.60423333333,577.58333333333,393.5,235.5,78.674999999999997,104.24583333333,268.22083333333,151.2,0.47308333333,0.48924083333,2.454575,1.057445983,2.65140833333,0.19959166667,3439.53916666667,380.76166666667001,1.2783,0.86158333333,19.02083333333,2.55833333333,38.5625,31.5,137.87291666666999,120.73583333333,117.60416666667,111.75833333333,1254.28333333333,33.1,2281.1575,541.36666666667,6101.025,7001.22916666667,1239.775,343.73333333333,359.68583333333,3.94600833333
1993,1.116925,1.5602,1.157375,1.61484166667,450.25,377.75,255.08333333333,71.376666666670005,102.09,235.4125,140.23833333333,0.44302583333,0.43249416667,2.61754166667,1.20539435683,2.9072416666700001,0.220975,2695.33666666667,661.42666666667003,1.28026666667,0.83128333333,16.84166666667,2.67166666667,31.33333333333,31.5,121.99583333333,111.94416666667,85.54166666667,112.54166666667,1139.04916666667,29.09,1913.07666666667,406.35833333333,5161.14166666667,5293.41916666667,961.98333333333,359.77,374.02583333333,4.3084
1994,1.39596666667,3.30764166667,2.61968333333,1.49219166667,607.5,528.41666666667,251.83333333333,72.648333333330001,107.55,267.59166666667,149.72916666667,0.43979083333,0.41134,2.33285,1.218824167,2.9751916666699998,0.26698333333,2641.66083333333,601.16333333333,1.762775,1.1258,15.88666666667,2.44333333333,32.299999999999997,31.83333333333,160.42430555556001,132.105,93.88541666667,112.5,1476.7825,26.47,2307.4175,547.76666666667,5463.85,6339.82,997.725,384.01166666667,405.26166666667,5.2847
1995,1.432425,3.332325,2.77070833333,1.48863333333,669.58333333333,628.25,259.25,104.01083333333,123.4875,320.95833333333,176.9825,0.4451025,0.53146666667,1.86865428383,1.22319666333,2.6209250000000002,0.29278333333,2643.44,584.43583333333004,2.1279,1.58004166667,17.18333333333,2.7275,39.371666666670002,32.66666666667,199.77222222221999,149.63166666667,126.8625,112.5,1805.6575,28.38,2935.60583333333,630.95,6213.80833333333,8228.03916666667,1031.11666666667,384.16416666667,424.33666666667,5.20024166667
1996,1.45556666667,2.69420833333,1.80594166667,1.66055,751.58333333333,530.91666666667,304.83333333333,119.66583333333,165.80916666667,338.875,207.6,0.46958416667,0.4916675,1.74995386867,1.37373546567,3.294575,0.263575,3055.37333333333,529.52833333333001,1.77333333333,1.39375833333,20.42,2.84416666667,38.074166666670003,33.03333333333,198.10416666667001,175.83,153.69166666667,112.5,1505.66083333333,30,2294.85666666667,774.325,6165.075,7500.81666666667,1025.14166666667,387.69583333333,397.1125,5.2013
1997,1.61873333333,4.16794166667,1.736075,2.06010833333,656.83333333333,545.83333333333,295.41666666667,97.238333333330004,117.09166666667,303.51,159.48416666667,0.51705333333,0.45896333333,1.84815131783,1.34457936617,3.3934000000000002,0.25065,3531.54583333333,484.95833333333002,1.74758333333,1.01751666667,19.17104272487,2.73833333333,35.099166666670001,32.5,186.98958333332999,171.90916666667,117.49375,112.5,1599.33,30.15,2276.76666666667,624.175,5646.76666666667,6927.38583333333,1316.125,331.09583333333,394.915,4.90603333333
1998,1.67638333333,2.98131666667,1.82258333333,2.04605833333,657.91666666667,671.08333333333,243.25,85.053333333330002,101.98666666667,304.15833333333,126.12666666667,0.489505,0.44240083333,1.71611295167,1.39234613283,2.7503000000000002,0.196725,3336.12166666667,376.05333333332999,1.44471666667,0.721575,13.06444166667,2.41583333333,29.230833333330001,32.5,186.86319444444001,173.04916666667,83.21666666667,112.5,1357.46916666667,31,1654.05833333333,528.64166666667,5540.33333333333,4629.52333333333,1024.46666666667,294.16083333333,372.27833333333,5.55079166667
1999,1.13531666667,2.29058333333,1.48875833333,1.8391,737.08333333333,436,201.66666666667,75.938333333329993,90.21666666667,248.41666666667,112.0425,0.37383083333,0.43822666667,1.81025022567,1.322000383,2.60999166667,0.13809166667,3041.1825,440.54916666666998,1.171075,0.628475,18.07138888889,2.13083333333,25.891666666670002,42.80208333333,171.1,154.49083333333,65.94236111111,112.5,1361.09,27.59,1572.86083333333,502.61666666667,5403.61666666667,6011.2275,1076.34166666667,278.76833333333,376.94916666667,5.21545833333
