"Data Source","World Development Indicators",

"Last Updated Date","2025-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7","29.1","27.7","32.6","41.5","60.4","71.5","77.4","99.1","62","75.2","92.5","95.1","80.6","150.9","100","59.1","67.6","71.8","109.4","97.2","158.3","98.1","97.4","124.6",
"Africa Eastern and Southern","AFE","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3","63.9","62","61.9","74.2","81","90.2","103.8","112.3","100.7","115.5","133.8","126.6","119.7","116.5","100","105.9","109.3","113.3","102.8","114.8","127.5","146.7","142.5","154.1",
"Africa Western and Central","AFW","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","35.1","32.4","34.6","35.7","41.3","45.7","53.6","26.8","32.4","26.8","35.1","50.2","38.5","24","35.1","55.8","49","49.7","57.3","72.5","100.9","122","138.6","180.6","119.6","153.4","216.2","218.8","211.5","189.5","100","84.1","107.9","140.8","127.6","81.9","150","220.4","163.9","160.1",
"Albania","ALB","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.5","79.6","79.1","80.8","85.8","90.1","98","104.2","108.6","100.1","106.7","120.2","119.5","117.6","115.8","100","96.6","102.5","106.8","104","101.7","117.1","131.4","122","120.7",
"Andorra","AND","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9","93.3","92.4","94.1","95.4","103.4","116.9","107.6","110.7","106.2","110.7","117.1","117.1","115.8","114.3","100","102.6","103.8","103.5","102.4","105.1","109.5","116.5","117.1","118.8",
"Arab World","ARB","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","61.5","71.1","67.8","59.2","57.6","55","27.1","34.6","26.9","","","","","","","","","","","","55","50.9","49.7","56.6","67.6","85.5","95.3","103.5","126.1","95.1","111.1","138","139.2","134.5","131.1","100","95.4","103","112","106","95.9","124.5","153.8","138.7","138.3",
"Argentina","ARG","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","45.9","42.7","36.7","39.4","38.9","43.2","45.4","44.8","42.1","41.1","40.5","50.2","52.4","52.9","57.3","58.9","62.7","58.9","53.5","49.2","54","51.4","49.5","55.1","63.4","66.4","73.2","82.8","104.7","93.5","101.1","119.7","122.7","120.9","117.9","100","95.2","96.6","102.2","96","93.3","116.7","135.7","123.1","115.9",
"Armenia","ARM","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.6","61","60.4","63.7","73.2","77.1","82","88.6","95.7","89.9","110.1","126.6","119.3","112.7","113.1","100","97.3","107","112.9","108.4","111.1","139.8","145.6","146","153.9",
"American Samoa","ASM","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799.4","764.4","740.5","876.1","975.5","957.6","1068.1","313.7","276.6","119.3","170.7","193.7","193.3","107","104.6","100","104.2","114.9","127","175.8","162.4","180.3","218.4","222.3","173.2",
"Antigua and Barbuda","ATG","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.6","111.6","111.4","111","113.5","112.8","118.4","124.5","135.1","119.9","128.2","137.6","134.3","131.4","115.2","100","88.3","92.4","81.3","82.9","82.9","95.7","108.1","103.1","100.7",
"Australia","AUS","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3","51.3","52.3","57.5","67.5","80","91.1","101.9","127.6","110.7","135.3","171.3","158.5","147","132.2","100","95.6","115.2","121.9","127.8","122.9","172","208.4","189.2","174.1",
"Austria","AUT","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.9","62.7","65.7","77.5","86.2","89.1","93.7","106.5","117.9","109.4","106.6","117.8","111.6","116","116.4","100","101.3","107.4","116.7","112.9","116.4","131.1","139.4","149.3","149.6",
"Azerbaijan","AZE","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3","53.4","53.4","61.4","77.8","104.2","120.5","132.6","169.7","111.2","140","183.7","185.8","182.1","169.2","100","86.6","103.8","126.4","113.5","81.6","143.6","224.6","148","136",
"Burundi","BDI","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","342.2","251.5","263.2","281.3","296.3","294","382.6","267.1","332.4","276.9","214.5","217.4","139.4","143.8","201.3","214.5","131.6","128.7","100.4","63.9","48.7","39.4","40.1","44.1","50.1","65.7","74.6","81","93.2","92.6","114.2","149.1","127.7","110.2","106.9","100","101.5","105","101.3","100.8","115.4","130.2","144.6","141.8","166",
"Belgium","BEL","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7","59.8","62.3","73.9","82.6","87","92","104.7","117.5","104.6","107.2","121","115.1","119.1","118.9","100","97.7","105.2","114.3","110.8","112.8","130","147.2","142.1","142.3",
"Benin","BEN","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","40.3","34","50.3","46.7","46","43.9","50.3","58","66.5","58.7","75.8","69.4","48.9","59.4","64.4","91.3","80","77.9","80.7","79.3","70.8","61.6","59.9","70.9","78.5","83.2","92.9","102.9","119.5","96.3","117.7","146.4","137.2","128.5","123.4","100","103.7","109.6","114.8","103.2","104.3","130.1","152.9","137.2","139.2",
"Burkina Faso","BFA","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","48.6","40.9","41.6","46.7","51.8","51.2","53.7","70.3","79.3","85.1","88.9","82.5","56.9","56.3","78.7","94.6","90.2","82.5","78","69.7","64","56.9","55.5","71.7","72.4","67.2","71.2","79.3","91.9","83.5","111.5","146.4","139.6","123.8","112.8","100","106.4","109.8","112.9","117","139.2","147.1","153.1","158.5","186.3",
"Bangladesh","BGD","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","66.8","62.7","59.5","57","58.7","70.1","59.5","61.9","66","66","66","69.3","68.4","66.8","65.2","69.3","74.2","78.2","80.7","81.5","81.5","80.4","79.8","79.9","81","81.8","81.8","82.7","86.2","85.2","86.9","98.7","103.3","101","102.2","100","99.3","98.6","99","99.1","103","103.2","106.5","105.6","106.1",
"Bulgaria","BGR","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1","47.7","49.5","58.5","69.2","74","86.9","104","118.8","102.2","108","126.6","122.1","122.4","120.1","100","97.6","105.8","113.6","110.1","112.9","138.8","153.1","151.8","149.2",
"Bahrain","BHR","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8","59.4","57","62.7","74.2","93.9","111.1","119.4","143.8","110.6","131.5","155.8","143","141.2","137.7","100","91.9","103.9","113.8","108.9","100.1","135.7","159.7","141.4","137.9",
"Bahamas, The","BHS","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5","56.1","53.9","59.4","65","71.4","75.4","78.8","90.1","74.9","87.6","109.1","110.1","111.2","111.5","100","97.2","104","112.6","107.9","101","122.7","149.6","142.1","136.3",
